# Application Stores (应用商店)
腾讯应用宝 com.tencent.android.qqdownloader
360手机助手 com.qihoo.appstore
百度手机助手 com.baidu.appsearch
小米应用商店 com.xiaomi.market
华为应用商店 com.huawei.appmarket
魅族应用市场 com.meizu.mstore
91手机助手 com.dragon.android.pandaspace
PP手机助手 com.pp.assistant
OPPO应用商店 com.oppo.market
VIVO应用商店 com.bbk.appstore
搜狗应用市场 com.sogou.androidtool
三星应用商店 com.sec.android.app.samsungapps
联想应用商店 com.lenovo.leos.appstore
中兴应用商店 zte.com.market
安智应用商店 com.hiapk.marketpho
应用汇 com.yingyonghui.market

# Social Apps (社交)
QQ com.tencent.mobileqq
QQ空间 com.qzone
微信 com.tencent.mm
探探 com.p1.mobile.putong
陌陌 com.immomo.momo

# Shopping Apps (购物)
淘宝 com.taobao.taobao
手机淘宝 com.taobao.taobao
京东 com.jingdong.app.mall
拼多多 com.xunmeng.pinduoduo
美团 com.sankuai.meituan
苏宁易购 com.suning.mobile.ebuy
咸鱼 com.taobao.idlefish
每日优鲜 cn.missfresh.application
唯品会 com.achievo.vipshop

# Reading Apps (阅读)
QQ阅读 com.qq.reader
微信读书 com.tencent.weread
掌阅 com.chaozh.iReaderFree

# News Apps (新闻)
今日头条 com.ss.android.article.news
今日头条极速版 com.ss.android.article.lite
新浪微博 com.sina.weibo
微博 com.sina.weibo
网易新闻 com.netease.newsreader.activity
搜狐新闻 com.sohu.newsclient

# Video Apps (视频)
抖音短视频 com.ss.android.ugc.aweme
快手 com.smile.gifmaker
火山小视频 com.ss.android.ugc.live
秒拍 com.yixia.videoeditor
优酷 com.youku.phone
爱奇艺 com.qiyi.video
腾讯视频 com.tencent.qqlive
斗鱼直播 air.tv.douyu.android
熊猫直播 com.panda.videoliveplatform
虎牙直播 com.duowan.kiwi
映客直播 com.meelive.ingkee

# Travel Apps (旅游)
携程 ctrip.android.view
携程旅行 ctrip.android.view
去哪儿旅行 com.Qunar
飞猪 com.taobao.trip
艺龙旅行 com.dp.android.elong
途牛旅游 com.tuniu.app.ui

# Photo Apps (拍照)
美图秀秀 com.mt.mtxx.mtxx
美颜相机 com.meitu.meiyancamera
美拍 com.meitu.meipaimv

# Finance Apps (金融)
支付宝 com.eg.android.AlipayGphone
百度钱包 com.baidu.wallet
京东钱包 com.wangyin.payment

# Food Delivery Apps (美食)
美团外卖 com.sankuai.meituan.takeoutnew
饿了么 me.ele
大众点评 com.dianping.v1

# Input Method Apps (输入法)
讯飞输入法 com.iflytek.inputmethod
百度输入法 com.baidu.input
百度输入法华为版 com.baidu.input_huawei
搜狗输入法 com.sohu.inputmethod.sogou

# Map Apps (地图)
百度地图 com.baidu.BaiduMap
高德地图 com.autonavi.minimap

# Transportation Apps (出行)
摩拜单车 com.mobike.mobikeapp
OFO单车 so.ofo.labofo
滴滴出行 com.sdu.didi.psnger
12306 battymole.trainticket
铁路12306 com.MobileTicket
航班管家 com.flightmanager.view

# Forum Apps (论坛)
简书 com.jianshu.haruki
知乎 com.zhihu.android
得到 com.luojilab.player
百度贴吧 com.baidu.tieba

# Music Apps (音乐)
QQ音乐 com.tencent.qqmusic
酷狗 com.kugou.android
全民K歌 com.tencent.karaoke
酷我 cn.kuwo.player
虾米 fm.xiami.main
唱吧 com.changba
网易云音乐 com.netease.cloudmusic
喜马拉雅 com.ximalaya.ting.android

# Education & Learning (教育学习)
学习强国 cn.xuexi.android
腾讯课堂 com.tencent.edu

# Business & Productivity (商务办公)
钉钉 com.alibaba.android.rimet
菜鸟裹裹 com.cainiao.wireless
BOSS直聘 com.hpbr.bosszhipin

# Real Estate (房产)
安居客 com.anjuke.android.app

# Games (游戏)
王者荣耀 com.tencent.tmgp.sgame

# Social Media & Lifestyle (社交生活)
小红书 com.xingin.xhs

# Telecom (运营商)
中国移动 com.greenpoint.android.mc10086.activity
手机营业厅(联通) com.sinovatech.unicom.ui

# University Apps (大学应用)
青春科大 com.joinin.ustc1
北师大人 com.cidtech.beijingshifan
掌上湖大 com.chinacreator.hnu
i南昌大学 com.ipowertec.incu
南昌航空大学 com.eteasun.nanhang
你好苏大 com.wisorg.szdx
i重大 com.wisorg.cqdx
北京大学 cn.edu.pku.PKUAndroid
清华大学校园通 com.ideaqhdx.news
武汉大学 com.wisorg.whdx
掌上川大 com.cutt.zhiyue.android.app542735
移动交通大学 com.wisedu.xjtu
上海交通大学 com.appbyme.app19108
i大工 cn.edu.dlut.ws
i复旦 org.apache.cordova.exampleFudan
合肥工大人 com.cidtech.hefeigongye
南京大学 cn.edu.nju.iportal
中山大学 com.lantu.MobileCampus.sysu
